latitud,longitud,OBJECTID,Y,RADICADO,FECHA,HORA,DIA,PERIODO,CLASE,DIRECCION,DIRECCION_,CBML,TIPO_GEOCO,GRAVEDAD,BARRIO,COMUNA,DISENO
-75.5431737341053,6.26930514639486,259090,1185252.12,1519899,2016-01-21T00:00:00.000Z,05:40 PM,JUEVES,2016,Caída de Ocupante,CL 77 CR 30,CL  077   030  000 00000,305,Malla vial,HERIDO,El Raizal,Manrique,Tramo de via
-75.5970871109327,6.27639125526995,259091,1186036,1519999,2016-01-21T00:00:00.000Z,08:00 PM,JUEVES,2016,Choque,CL 65 CR 87,CL  065   087  000 00000,717,Malla vial,HERIDO,Robledo,Robledo,Tramo de via
-75.5785548097462,6.25264437020146,259092,1183409.18,1519830,2016-01-21T00:00:00.000Z,04:40 PM,JUEVES,2016,Choque,CR 63 CL 49,CR  063   049  000 00000,1102,Malla vial,HERIDO,Suramericana,Laureles Estadio,Tramo de via
-75.5910221461155,6.19469113495906,259093,1176998.81,1519952,2016-01-21T00:00:00.000Z,09:00 PM,JUEVES,2016,Volcamiento,CR 52 CL 14 Sur,CR  052  S 014  000 00000,1510,Malla vial,HERIDO,Guayabal,Guayabal,Tramo de via
-75.5479975331115,6.26954317761264,259095,1185278.43,1519858,2016-01-21T00:00:00.000Z,09:00 AM,JUEVES,2016,Otro,CL 75 B CR 36 B,CL  075 B   036 B  000 00000,304,Malla vial,HERIDO,Santa Inés,Manrique,Tramo de via
-75.5802414587975,6.2002664557828,259096,1177615.47,1519892,2016-01-21T00:00:00.000Z,04:40 PM,JUEVES,2016,Volcamiento,CR 50 CL 8 Sur,CR  050  S 008  000 00000,1510,Malla vial,HERIDO,Guayabal,Guayabal,Tramo de via
-75.5721633409588,6.2669329616657,259097,1184989.68,1519894,2016-01-21T00:00:00.000Z,05:00 PM,JUEVES,2016,Otro,CR 64 A CL 72,CR  064 A   072  000 00000,517,Malla vial aproximada: CR 64-72,HERIDO,Caribe,Castilla,Tramo de via
-75.580310987146,6.25805314527251,259098,1184007.47,1519897,2016-01-21T00:00:00.000Z,05:50 PM,JUEVES,2016,Choque,CR 65 CL 54,CR  065   054  000 00000,1101,Malla vial aproximada: CR 65-53,HERIDO,Carlos E. Restrepo,Laureles Estadio,Interseccion
-75.5609578914132,6.28348420135212,259099,1186820.47,1519909,2016-01-21T00:00:00.000Z,12:10 PM,JUEVES,2016,Choque,CR 51 CL 92,CR  051   092  000 00000,402,Malla vial,HERIDO,San Isidro,Aranjuez,Interseccion
-75.5507845853014,6.23142998919578,259101,1181062.58,1520066,2016-01-21T00:00:00.000Z,03:30 PM,JUEVES,2016,Atropello,CR 24 CL 41,CR  024   041  000 00000,909,Malla vial aproximada: CR 23-40,HERIDO,Cataluña,Buenos Aires,Tramo de via
-75.5743948116441,6.23192135118625,259103,1181116.92,1519842,2016-01-21T00:00:00.000Z,05:40 AM,JUEVES,2016,Caída de Ocupante,CR 50 CL 30,CR  050   030  000 00000,1012,Malla vial,HERIDO,Perpetuo Socorro,La Candelaria,Tramo de via
-75.5918834151691,6.27814476568113,259104,1186229.93,1519831,2016-01-21T00:00:00.000Z,07:15 AM,JUEVES,2016,Caída de Ocupante,CL 76 CR 83 A,CL  076   083 A  000 00000,715,Malla vial aproximada: CL 76-84,HERIDO,Villa Flora,Robledo,Tramo de via
-75.5761923734051,6.21337153463292,259105,1179065.06,1519846,2016-01-21T00:00:00.000Z,07:40 PM,JUEVES,2016,Caída de Ocupante,CL 10 CR 48,CL  010   048  000 00000,1419,EPM sin Interior,HERIDO,Manila,El Poblado,Paso Elevado
-75.5440519991447,6.26925681527828,259106,1185246.77,1519847,2016-01-21T00:00:00.000Z,06:10 PM,JUEVES,2016,Caída de Ocupante,CL 77 CR 31,CL  077   031  000 00000,305,Malla vial,HERIDO,El Raizal,Manrique,Interseccion
-75.5715045294298,6.24504770741106,259107,1182568.87,1519851,2016-01-21T00:00:00.000Z,05:40 PM,JUEVES,2016,Caída de Ocupante,CL 44 CR 52,CL  044   052  000 00000,1007,Malla vial,HERIDO,Guayaquil,La Candelaria,Tramo de via
-75.5490352084942,6.30404038201993,259108,1189094.29,1520016,2016-01-21T00:00:00.000Z,08:30 PM,JUEVES,2016,Atropello,CR 47 CL 123,CR  047   123  000 00000,201,Malla vial,HERIDO,La Isla,Santa Cruz,Interseccion
-75.5652257802217,6.22469240480646,259109,1180317.29,1520045,2016-01-21T00:00:00.000Z,03:30 PM,JUEVES,2016,Choque,CR 38 CL 26,CR  038   026  000 00000,1020,Malla vial cruce invertido,SOLO DAÑOS,San Diego,La Candelaria,Tramo de via
-75.5809872503478,6.25609577266677,259110,1183790.96,1519919,2016-01-21T00:00:00.000Z,12:40 PM,JUEVES,2016,Choque,CR 65 CL 50,CR  065   050  000 00000,1101,Malla vial,SOLO DAÑOS,Carlos E. Restrepo,Laureles Estadio,Tramo de via
-75.5519306782325,6.25213305910474,259111,1183352.62,1519874,2016-01-21T00:00:00.000Z,12:00 PM,JUEVES,2016,Choque,CR 31 CL 62 A,CR  031   062 A  000 00000,804,Malla vial,SOLO DAÑOS,La Ladera,Villa Hermosa,Tramo de via
-75.5997705488314,6.25061652059841,259112,1183184.98,1519768,2016-01-21T00:00:00.000Z,05:30 AM,JUEVES,2016,Choque,CR 79 A CL 44 A,CR  079 A   044 A  000 00000,1203,Malla vial,SOLO DAÑOS,Los Pinos,La América,Tramo de via
